"name","unique_skills_required","highest_avg_salary"
"​Illinois State Board of Education","2","62536"
"#twiceasnice Recruiting","7","120000"
"/dev/color","3","125000"
"0nward Select","9","92500"
"1-800-FLOWERS.COM, INC.","13","190000"
"1 Point System","35","137290"
"1 Point System LLC.","17","170000"
"100Insure","4","97500"
"10x Genomics","22","155000"
"16 Points Holdings LLC","2","50000"
"1872 Consulting","28","147500"
"1st Edge","6","63000"
"1stdibs.com","5","128000"
"24 Capital, LLC","1","88514"
"24 Seven Talent","37","65000"
"2K","38","172500"
"2U","20","135000"
"360insights.com","14","175000"
"3B Staffing LLC","25","130000"
"3E","35","71500"
"3Pillar Global","51","156500"
"3Q Digital","9","115000"
"3Red Partners","2","100000"
"4 Corner Resources","9","114000"
"500 Global","7","51014"
"605","14","137500"
"66degrees","27","147500"
"6e Tech","8","119238"
"6point6","17","157500"
"710 Labs","3","80000"
"84.51","28","225000"
"84.51°","39","221875"
"A-Line Staffing Solutions","49","170000"
"A great organization!","4","80000"
"A Safe Haven Foundation","4","55000"
"a2c IT Consulting","11","135000"
"AAA-Auto Club Enterprises","5","129500"
"AACSB International","5","98500"
"AARA TECHNOLOGIES INC.","10","65000"
"AaraTechnologies Inc","10","65000"
"AARP","13","90000"
"ABATECH","2","200000"
"Abbott","50","204000"
"Abbott-Unlimited","10","117500"
"Abbott Jewelry Systems, Inc","1","49725"
"Abbott Laboratories","53","156000"
"AbbVie","73","175000"
"ABCS Inc","2","130000"
"ABCS, Inc.  IT Executive and Contingent Workforce Staffing","2","110000"
"Abercrombie & Fitch Co.","6","130000"
"ABHealth","12","95000"
"AbilityMarket","3","70000"
"ABOUT YOU SE & Co. KG","19","139216"
"Abridge","4","205000"
"ABS Group","12","125000"
"ABS Kids","6","107500"
"AbsoluteCare","8","75000"
"Abt Associates","21","136656"
"Abt JTA","6","118831"
"AC Accounting","2","80000"
"ACA Group","29","118140"
"Acacia Center for Justice","15","96000"
"Acacia Network","4","45000"
"Acadia Technologies, Inc.","34","80000"
"Acara Solutions","31","94000"
"Accede LLC","10","105000"
"Acceler8 Talent","32","262500"
"accelerate360","6","122500"
"Accellor","16","96773"
"Accenture","142","154750"
"Accenture Federal Services","56","161000"
"Access-Supports for Living","6","64272"
"Accion Labs","55","127500"
"Acclaim Technical Services","39","137500"
"Accolite Digital","62","150000"
"AccorCorpo","39","166420"
"Accreditation Association for Ambulatory Health Care (AAAHC)","19","65000"
"Accrete","17","150000"
"Accrete AI","15","185000"
"Accrete.AI","20","165000"
"AccuraGen","4","102500"
"Ace Games","16","57500"
"Ace Hardware","14","104550"
"Ace Metrix an iSpot.tv company","8","152000"
"ACE Workforce Technologies","4","125000"
"Acentra Health","22","115000"
"Achieve","13","185000"
"ACI Group, Inc.","14","129000"
"ACL Digital","68","124500"
"ACL Technology","15","156500"
"Acorns","8","127000"
"Acosta, Inc.","11","52500"
"Acquco","11","80000"
"Acquire Me","4","225000"
"Acrisure","27","120000"
"Acro Service Corp","20","75000"
"Acronis","32","89100"
"ActiveCampaign","31","99150"
"Activision","49","270018"
"Activision Blizzard","41","150000"
"Acuity Brands, Inc","15","90000"
"AcuityAds","9","90000"
"Acunor","37","137500"
"Acxiom","35","90000"
"Ad Hoc","28","115785"
"Ad Hoc Labs (Burner)","13","125785"
"Ad Hoc Team","14","98800"
"Ada Meher","23","185000"
"Adaptalytics, LLC","4","80000"
"Adaptive Solutions Group","23","115000"
"Adaptive Technology Insights","18","90000"
"Addepar","16","147500"
"Addison Group","59","130000"
"ADDX","10","111175"
"Adecco","126","85000"
"Adecco Medical & Science","4","75000"
"Adecco Perm Team","3","82500"
"AdelFi","1","70000"
"AdeptID","5","152500"
"Adevinta","58","166000"
"Aditi Consulting","84","151000"
"ADM","27","85000"
"adMarketplace","17","182500"
"Adobe","74","200500"
"Adobe Inc.","25","148000"
"Adobe Systems Incorporated","11","65000"
"Adoc Talent Management","15","163525"
"ADP","80","228000"
"ADP (Automatic Data Processing)","26","125000"
"Adroit Worldwide Media, Inc. (AWM Smart Shelf)","5","135000"
"Adswerve, Inc","9","70000"
"ADT","23","129326"
"ADT Inc.","5","125000"
"Adtalem Global Education","26","72940"
"Adtalem Global Education Inc","23","51962"
"AdTheorent","11","115000"
"Advanced Hires","28","100000"
"Advanced Ionics Inc","4","110000"
"Advanced Management USA LLC","8","55000"
"Advanced Micro Devices, Inc","57","200000"
"Advanced Stimulation Technologies, Inc","5","70000"
"Advanced Systems Design","15","80080"
"Advanced Tech Placement","29","180000"
"Advanced Technology and Research Corporation","3","100000"
"Advantage Solutions","36","60000"
"Advantage Solutions: Sales, Marketing, Technology","21","175000"
"Advantage Tech","29","115000"
"Advantex Consulting","23","137500"
"Advantis Government Solutions","8","180000"
"Advent Global Solutions, Inc.","29","145000"
"Adventist Health System Sunbelt, Inc","14","125000"
"Advocates for Human Potential, Inc.","5","78000"
"Adyen","39","166000"
"AE Business Solutions","13","145000"
"AE Studio","9","160000"
"AECOM","56","147500"
"AEG - Application Engineering Group","3","95000"
"AEG Worldwide","12","77981"
"Aegis Worldwide","4","62500"
"Aegistech","24","177500"
"Aegon","32","124500"
"AEM Corporation","1","85000"
"Aerojet Rocketdyne","11","98000"
"Aether","4","128000"
"Aether Biomachines","4","185000"
"Aetion","16","157500"
"AEXGroup","1","72500"
"Aeyon","30","160000"
"Affinaquest Technologies, LLC","10","187500"
"Affinidi","35","89100"
"Affinity","56","193000"
"Affinity Solutions","19","152500"
"Aflac","14","115000"
"Aflac, Incorporated","10","60000"
"AFRY","38","166000"
"AG Foundry","8","82500"
"AGCO Corporation","20","125000"
"Age Bold","1","75000"
"AgentSync","7","175000"
"Ageras","6","100500"
"Agero","11","90000"
"Agile Global Solutions","12","190000"
"Agile Premier","26","140000"
"Agile Resources, Inc.","15","170000"
"Agilent Technologies","18","150000"
"Agiles Enterprise","1","80158"
"Agilisys","15","166420"
"Agility Partners","42","150000"
"AGM Tech Solutions, LLC","8","82500"
"Agoda","76","192000"
"AgWest Farm Credit","19","87028"
"AHA - AMERICAN HOSPITAL ASSOCIATION","6","68000"
"AHEAD","23","99150"
"Ahrefs","13","157500"
